GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sinaq API Core,io.sinaq.api.events,ReportEvent,15,62,2,0,2,17,2,9,1,9
Sinaq API Core,io.sinaq.api.events,EventType,0,165,0,0,0,28,0,1,0,1
Sinaq API Core,io.sinaq.api.events,ReportEvent.Builder,8,49,0,0,2,12,1,6,1,6
Sinaq API Core,io.sinaq.api.events,EventPublisher,0,4,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.parallel,ParallelRequests,7,80,0,6,2,16,0,5,0,2
Sinaq API Core,io.sinaq.api.parallel,ParallelBatch,8,101,1,7,2,17,1,5,0,2
Sinaq API Core,io.sinaq.api.parallel,ParallelBatch.ParallelResult,2,24,1,1,0,5,1,3,0,3
Sinaq API Core,io.sinaq.api.metrics,RequestMetrics,0,62,0,0,0,8,0,2,0,2
Sinaq API Core,io.sinaq.api.http,HttpHeaders.Builder,8,88,0,0,2,15,1,6,1,6
Sinaq API Core,io.sinaq.api.http,HttpMethod,0,45,0,0,0,2,0,1,0,1
Sinaq API Core,io.sinaq.api.http,MultipartBody.Builder,23,32,0,0,5,7,2,4,2,4
Sinaq API Core,io.sinaq.api.http,HttpCookie,0,47,0,2,0,7,0,3,0,2
Sinaq API Core,io.sinaq.api.http,HttpHeaders,21,137,0,4,5,23,3,18,3,16
Sinaq API Core,io.sinaq.api.http,HttpTimeout,0,52,0,4,0,12,0,7,0,5
Sinaq API Core,io.sinaq.api.http,HttpPathParams,13,28,0,0,3,8,3,6,3,6
Sinaq API Core,io.sinaq.api.http,MultipartBody,5,174,2,10,1,36,2,7,0,3
Sinaq API Core,io.sinaq.api.http,HttpEngine,0,1,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.http,HttpHeaders.Entry,0,9,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.http,HttpPathParams.Builder,0,37,0,2,0,7,0,4,0,3
Sinaq API Core,io.sinaq.api.http,HttpQueryParams,28,55,0,0,5,10,4,10,4,10
Sinaq API Core,io.sinaq.api.http,HttpResponse,0,4,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.http,HttpQueryParams.Builder,0,33,0,2,0,5,0,4,0,3
Sinaq API Core,io.sinaq.api.http,HttpQueryParams.Param,0,17,0,0,0,4,0,1,0,1
Sinaq API Core,io.sinaq.api.http,ImmutableHttpResponse,9,96,4,4,0,26,4,10,0,10
Sinaq API Core,io.sinaq.api.http,HttpBody,8,85,1,1,1,17,2,11,1,11
Sinaq API Core,io.sinaq.api.http,HttpStatus,7,90,8,20,1,11,9,14,1,8
Sinaq API Core,io.sinaq.api.http,MultipartBody.Part,1,44,1,1,0,6,1,3,0,3
Sinaq API Core,io.sinaq.api.assertion,SoftAssertions,122,62,1,1,11,15,20,7,19,7
Sinaq API Core,io.sinaq.api.assertion,SchemaValidator,5,2,0,0,1,1,1,1,1,1
Sinaq API Core,io.sinaq.api.template,RequestTemplateRegistry,15,26,1,1,3,7,3,3,2,3
Sinaq API Core,io.sinaq.api.template,RequestTemplate,9,71,0,2,3,17,3,7,3,6
Sinaq API Core,io.sinaq.api.template,RequestTemplate.Builder,0,54,0,0,0,11,0,5,0,5
Sinaq API Core,io.sinaq.api.internal.events,SyncEventPublisher,0,54,0,2,0,15,0,5,0,4
Sinaq API Core,io.sinaq.api.replay,ReplayPlayer,19,86,6,9,4,21,6,6,0,2
Sinaq API Core,io.sinaq.api.replay,ReplayPlayer.ReplayResult,0,6,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.context,SinaqTestContextHolder,7,9,0,0,4,2,2,2,2,2
Sinaq API Core,io.sinaq.api.context,TestContext,11,32,1,1,1,6,2,1,1,1
Sinaq API Core,io.sinaq.api.context,RequestContext,0,5,0,0,0,2,0,2,0,2
Sinaq API Core,io.sinaq.api.context,ExecutionContext,0,32,0,0,0,6,0,2,0,2
Sinaq API Core,io.sinaq.api.cache,ResponseCache,0,57,1,5,0,16,1,8,0,6
Sinaq API Core,io.sinaq.api.config,SinaqConfig.Builder,17,110,2,8,4,28,4,12,2,9
Sinaq API Core,io.sinaq.api.config,EnvironmentProfile,0,90,1,7,0,17,1,7,0,4
Sinaq API Core,io.sinaq.api.config,RetryPolicy,7,61,1,5,1,12,1,7,0,5
Sinaq API Core,io.sinaq.api.config,ConfigLoader,54,252,10,26,14,55,10,20,2,10
Sinaq API Core,io.sinaq.api.config,ConfigKeys,0,7,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.config,SinaqConfig,12,81,0,0,2,23,1,9,1,9
Sinaq API Core,io.sinaq.api.config,RetryPolicy.Builder,0,53,0,0,0,10,0,7,0,7
Sinaq API Core,io.sinaq.api.internal.extraction,BuiltInExtractionProvider,0,9,0,0,0,2,0,2,0,2
Sinaq API Core,io.sinaq.api.extraction,ExtractionProvider,0,2,0,0,0,1,0,1,0,1
Sinaq API Core,io.sinaq.api.request,ApiRequest,2,53,1,1,0,9,1,2,0,2
Sinaq API Core,io.sinaq.api.request,RequestSpec,160,1087,22,72,31,222,37,72,15,47
Sinaq API Core,io.sinaq.api.report,ReportExporter,12,85,0,2,0,15,2,3,2,2
